name,family,n,m,regime,truth,aegypti_found,aegypti_valid,aegypti_correct,aegypti_ms,aegypti_miss,chiba_found,chiba_valid,chiba_correct,chiba_ms,matmul_found,matmul_correct,matmul_ms,all_agree,dense_branch_runs
er_sparse_00111,er_sparse,20,5,sparse,False,False,True,True,0.06179999763844535,False,False,True,True,0.02040000254055485,False,True,0.09110000246437266,True,False
er_sparse_00112,er_sparse,46,44,sparse,True,True,True,True,0.1644000003580004,False,True,True,True,0.048300003982149065,True,True,0.12020000576740131,True,False
er_sparse_00113,er_sparse,52,73,sparse,True,True,True,True,0.2125999963027425,False,True,True,True,0.056899996707215905,True,True,0.1260999997612089,True,False
er_sparse_00114,er_sparse,50,78,sparse,True,True,True,True,0.3939000016544014,False,True,True,True,0.04079999780515209,True,True,0.14099999680183828,True,False
er_sparse_00115,er_sparse,47,87,sparse,True,True,True,True,0.2142000012099743,False,True,True,True,0.037999998312443495,True,True,0.14240000018617138,True,False
er_sparse_00116,er_sparse,13,1,sparse,False,False,True,True,0.03700000524986535,False,False,True,True,0.015199999324977398,False,True,0.09160000627161935,True,False
er_sparse_00117,er_sparse,39,58,sparse,True,True,True,True,0.3130999975837767,False,True,True,True,0.057999997807201,True,True,0.15040000289445743,True,False
er_sparse_00118,er_sparse,27,23,sparse,False,False,True,True,0.11410000297473744,False,False,True,True,0.03270000161137432,False,True,0.11219999578315765,True,False
er_sparse_00119,er_sparse,25,9,sparse,False,False,True,True,0.08149999484885484,False,False,True,True,0.027099995349999517,False,True,0.09929999941959977,True,False
er_sparse_00120,er_sparse,15,3,sparse,False,False,True,True,0.055500000598840415,False,False,True,True,0.016099998902063817,False,True,0.09549999958835542,True,False
er_sparse_00121,er_sparse,36,43,sparse,True,True,True,True,0.19459999748505652,False,True,True,True,0.039699996705166996,True,True,0.11490000179037452,True,False
er_sparse_00122,er_sparse,12,4,sparse,False,False,True,True,0.04810000245925039,False,False,True,True,0.014500001270789653,False,True,0.10109999857377261,True,False
er_sparse_00123,er_sparse,25,8,sparse,False,False,True,True,0.07789999654050916,False,False,True,True,0.029499999072868377,False,True,0.11349999840604141,True,False
er_sparse_00124,er_sparse,27,26,sparse,True,True,True,True,0.11629999789875001,False,True,True,True,0.031199997465591878,True,True,0.11449999874457717,True,False
er_sparse_00125,er_sparse,58,28,sparse,False,False,True,True,0.1627000019652769,False,False,True,True,0.05529999907594174,False,True,0.10740000288933516,True,False
er_sparse_00126,er_sparse,24,17,sparse,True,True,True,True,0.09130000398727134,False,True,True,True,0.0261999957729131,True,True,0.09729999874252826,True,False
er_sparse_00127,er_sparse,29,21,sparse,False,False,True,True,0.10449999535921961,False,False,True,True,0.030899995181243867,False,True,0.1047000041580759,True,False
er_sparse_00128,er_sparse,31,14,sparse,False,False,True,True,0.09309999586548656,False,False,True,True,0.03029999788850546,False,True,0.10830000246642157,True,False
er_sparse_00129,er_sparse,17,4,sparse,False,False,True,True,0.054299998737405986,False,False,True,True,0.017799997294787318,False,True,0.09449999924981967,True,False
er_sparse_00130,er_sparse,43,53,sparse,True,True,True,True,0.16879999748198316,False,True,True,True,0.04739999712910503,True,True,0.11780000204453245,True,False
er_sparse_00131,er_sparse,20,15,sparse,False,False,True,True,0.0810999990790151,False,False,True,True,0.02359999780310318,False,True,0.09690000297268853,True,False
er_sparse_00132,er_sparse,31,16,sparse,False,False,True,True,0.09780000254977494,False,False,True,True,0.030399998649954796,False,True,0.10109999857377261,True,False
er_sparse_00133,er_sparse,32,44,sparse,True,True,True,True,0.1292000015382655,False,True,True,True,0.029299997549969703,True,True,0.11030000314349309,True,False
er_sparse_00134,er_sparse,56,82,sparse,True,True,True,True,0.2106000029016286,False,True,True,True,0.04249999619787559,True,True,0.12830000196117908,True,False
er_sparse_00135,er_sparse,42,61,sparse,True,True,True,True,0.19050000264542177,False,True,True,True,0.040099999750964344,True,True,0.1235999952768907,True,False
er_sparse_00136,er_sparse,39,36,sparse,False,False,True,True,0.1410000040777959,False,False,True,True,0.0427999984822236,False,True,0.10629999451339245,True,False
er_sparse_00137,er_sparse,59,126,sparse,True,True,True,True,0.2629000009619631,False,True,True,True,0.04890000127488747,True,True,0.18889999773819,True,False
er_sparse_00138,er_sparse,16,9,sparse,True,True,True,True,0.06749999738531187,False,True,True,True,0.017799997294787318,True,True,0.09719999798107892,True,False
er_sparse_00139,er_sparse,48,28,sparse,False,False,True,True,0.14309999824035913,False,False,True,True,0.04629999602911994,False,True,0.10189999738940969,True,False
er_sparse_00140,er_sparse,57,89,sparse,True,True,True,True,0.22290000197244808,False,True,True,True,0.046799999836366624,True,True,0.1446999958716333,True,False
er_sparse_00141,er_sparse,40,29,sparse,False,False,True,True,0.1340000017080456,False,False,True,True,0.04419999459059909,False,True,0.10759999713627622,True,False
er_sparse_00142,er_sparse,48,84,sparse,True,True,True,True,0.29630000062752515,False,True,True,True,0.04810000245925039,True,True,0.16490000416524708,True,False
er_sparse_00143,er_sparse,33,6,sparse,False,False,True,True,0.08970000635599717,False,False,True,True,0.0318000020342879,False,True,0.10340000153519213,True,False
er_sparse_00144,er_sparse,42,68,sparse,True,True,True,True,0.19449999672360718,False,True,True,True,0.04359999729786068,True,True,0.14119999832473695,True,False
er_sparse_00145,er_sparse,52,19,sparse,False,False,True,True,0.1407999952789396,False,False,True,True,0.04690000059781596,False,True,0.10659999679774046,True,False
er_sparse_00146,er_sparse,57,127,sparse,True,True,True,True,0.2719000040087849,False,True,True,True,0.04539999645203352,True,True,0.17010000010486692,True,False
er_sparse_00147,er_sparse,53,78,sparse,True,True,True,True,0.21440000273287296,False,True,True,True,0.04129999433644116,True,True,0.12740000238409266,True,False
er_sparse_00148,er_sparse,52,46,sparse,False,False,True,True,0.1782000035746023,False,False,True,True,0.052600000344682485,False,True,0.10569999722065404,True,False
er_sparse_00149,er_sparse,34,5,sparse,False,False,True,True,0.08260000322479755,False,False,True,True,0.02939999831141904,False,True,0.09520000457996503,True,False
er_sparse_00150,er_sparse,34,17,sparse,False,False,True,True,0.1033000007737428,False,False,True,True,0.03270000161137432,False,True,0.09689999569673091,True,False
er_sparse_00151,er_sparse,51,100,sparse,True,True,True,True,0.2210000020568259,False,True,True,True,0.04350000381236896,True,True,0.1629999969736673,True,False
er_sparse_00152,er_sparse,56,73,sparse,True,True,True,True,0.23499999952036887,False,True,True,True,0.05970000347588211,True,True,0.1320000010309741,True,False
er_sparse_00153,er_sparse,55,48,sparse,True,True,True,True,0.19810000230791047,False,True,True,True,0.05579999560723081,True,True,0.11449999874457717,True,False
er_sparse_00154,er_sparse,33,11,sparse,False,False,True,True,0.09429999772692099,False,False,True,True,0.031299998227041215,False,True,0.09829999908106402,True,False
er_sparse_00155,er_sparse,52,37,sparse,False,False,True,True,0.16939999477472156,False,False,True,True,0.05339999916031957,False,True,0.09929999941959977,True,False
er_sparse_00156,er_sparse,41,19,sparse,False,False,True,True,0.12250000145286322,False,False,True,True,0.0377000033040531,False,True,0.09669999417383224,True,False
er_sparse_00157,er_sparse,27,22,sparse,False,False,True,True,0.10080000356538221,False,False,True,True,0.029300004825927317,False,True,0.09940000018104911,True,False
er_sparse_00158,er_sparse,38,56,sparse,True,True,True,True,0.152900000102818,False,True,True,True,0.033899996196851134,True,True,0.1188000023830682,True,False
er_sparse_00159,er_sparse,54,121,sparse,True,True,True,True,0.45390000013867393,False,True,True,True,0.053800002206116915,True,True,0.1919999995152466,True,False
er_sparse_00160,er_sparse,30,28,sparse,False,False,True,True,0.1188000023830682,False,False,True,True,0.035099998058285564,False,True,0.1106000054278411,True,False
er_sparse_00161,er_sparse,20,10,sparse,False,False,True,True,0.07349999941652641,False,False,True,True,0.022099993657320738,False,True,0.09829999908106402,True,False
er_sparse_00162,er_sparse,38,15,sparse,True,True,True,True,0.11269999959040433,False,True,True,True,0.034900003811344504,True,True,0.10109999857377261,True,False
er_sparse_00163,er_sparse,32,29,sparse,False,False,True,True,0.12209999840706587,False,False,True,True,0.03730000025825575,False,True,0.10430000111227855,True,False
er_sparse_00164,er_sparse,53,23,sparse,False,False,True,True,0.2201999959652312,False,False,True,True,0.059600002714432776,False,True,0.1260999997612089,True,False
er_sparse_00165,er_sparse,49,22,sparse,False,False,True,True,0.15150000399444252,False,False,True,True,0.04990000161342323,False,True,0.11010000162059441,True,False
er_sparse_00166,er_sparse,59,111,sparse,True,True,True,True,0.258400003076531,False,True,True,True,0.060999998822808266,True,True,0.1613000058569014,True,False
er_sparse_00167,er_sparse,34,9,sparse,False,False,True,True,0.09050000517163426,False,False,True,True,0.030399998649954796,False,True,0.10029999975813553,True,False
er_sparse_00168,er_sparse,39,59,sparse,True,True,True,True,0.1618999958736822,False,True,True,True,0.03440000000409782,True,True,0.12879999849246815,True,False
er_sparse_00169,er_sparse,54,55,sparse,False,False,True,True,0.19780000002356246,False,False,True,True,0.05950000195298344,False,True,0.11629999789875001,True,False
er_sparse_00170,er_sparse,12,2,sparse,False,False,True,True,0.04359999729786068,False,False,True,True,0.014199998986441642,False,True,0.10130000009667128,True,False
er_sparse_00171,er_sparse,40,20,sparse,False,False,True,True,0.1424999936716631,False,False,True,True,0.03909999941242859,False,True,0.10080000356538221,True,False
er_sparse_00172,er_sparse,53,87,sparse,True,True,True,True,0.22170000011101365,False,True,True,True,0.052100003813393414,True,True,0.1446999958716333,True,False
er_sparse_00173,er_sparse,25,8,sparse,False,False,True,True,0.07790000381646678,False,False,True,True,0.025499997718725353,False,True,0.09700000373413786,True,False
er_sparse_00174,er_sparse,30,9,sparse,False,False,True,True,0.0853000019560568,False,False,True,True,0.02830000448739156,False,True,0.09499999578110874,True,False
er_sparse_00175,er_sparse,52,50,sparse,True,True,True,True,0.17410000145900995,False,True,True,True,0.04479999915929511,True,True,0.11449999874457717,True,False
er_sparse_00176,er_sparse,44,75,sparse,True,True,True,True,0.20229999790899456,False,True,True,True,0.0377000033040531,True,True,0.14099999680183828,True,False
er_sparse_00177,er_sparse,55,29,sparse,True,True,True,True,0.15410000196425244,False,True,True,True,0.04839999746764079,True,True,0.10199999815085903,True,False
er_sparse_00178,er_sparse,23,9,sparse,False,False,True,True,0.07499999628635123,False,False,True,True,0.024499997380189598,False,True,0.09829999908106402,True,False
er_sparse_00179,er_sparse,40,60,sparse,True,True,True,True,0.1627000019652769,False,True,True,True,0.03399999695830047,True,True,0.1238999975612387,True,False
er_sparse_00180,er_sparse,27,26,sparse,True,True,True,True,0.1114999977289699,False,True,True,True,0.03159999323543161,True,True,0.10260000271955505,True,False
er_sparse_00181,er_sparse,45,66,sparse,True,True,True,True,0.18060000002151355,False,True,True,True,0.041600003896746784,True,True,0.12749999586958438,True,False
